time,open,high,low,close,Volume,Volume MA
7/11/2008,77.18,77.18,77.18,77.18,NaN,NaN
7/14/2008,78.83,78.83,78.83,78.83,NaN,NaN
7/15/2008,73.07,73.07,73.07,73.07,NaN,NaN
7/16/2008,73.22,73.22,73.22,73.22,NaN,NaN
7/17/2008,72.46,72.46,72.46,72.46,NaN,NaN
7/18/2008,70.29,70.29,70.29,70.29,NaN,NaN
7/21/2008,71.6,71.6,71.6,71.6,NaN,NaN
7/22/2008,68.39,68.39,68.39,68.39,NaN,NaN
7/23/2008,67.25,67.25,67.25,67.25,NaN,NaN
7/24/2008,74.9,74.9,74.9,74.9,NaN,NaN
7/25/2008,73.7,73.7,73.7,73.7,NaN,NaN
7/28/2008,74.9,74.9,74.9,74.9,NaN,NaN
7/29/2008,71.03,71.03,71.03,71.03,NaN,NaN
7/30/2008,67.21,67.21,67.21,67.21,NaN,NaN
7/31/2008,72.95,72.95,72.95,72.95,NaN,NaN
8/1/2008,72.73,72.73,72.73,72.73,NaN,NaN
8/4/2008,73.17,73.17,73.17,73.17,NaN,NaN
8/5/2008,70.28,70.28,70.28,70.28,NaN,NaN
8/6/2008,71.6,71.6,71.6,71.6,NaN,NaN
8/7/2008,73.11,73.11,73.11,73.11,NaN,NaN
8/8/2008,73.05,73.05,73.05,73.05,NaN,NaN
8/11/2008,75.59,75.59,75.59,75.59,NaN,NaN
8/12/2008,72.4,72.4,72.4,72.4,NaN,NaN
8/13/2008,79.41,79.41,79.41,79.41,NaN,NaN
8/14/2008,74.37,74.37,74.37,74.37,NaN,NaN
8/15/2008,74.1,74.1,74.1,74.1,NaN,NaN
8/18/2008,72.85,72.85,72.85,72.85,NaN,NaN
8/19/2008,77.5,77.5,77.5,77.5,NaN,NaN
8/20/2008,73.42,73.42,73.42,73.42,NaN,NaN
8/21/2008,73.75,73.75,73.75,73.75,NaN,NaN
8/22/2008,73.56,73.56,73.56,73.56,NaN,NaN
8/25/2008,77.03,77.03,77.03,77.03,NaN,NaN
8/26/2008,73.14,73.14,73.14,73.14,NaN,NaN
8/27/2008,72,72,72,72,NaN,NaN
