time,open,high,low,close,Volume,Volume MA
2012-05-15,1.184,1.262,0.715,1.119,NaN,NaN
2012-05-16,3.112,3.112,1.061,1.095,NaN,NaN
2012-05-17,0.986,1.845,0.986,1.71,NaN,NaN
2012-05-18,1.367,2.126,1.157,1.452,NaN,NaN
2012-05-21,0.951,1.885,0.947,1.112,NaN,NaN
2012-05-22,1.682,1.682,1.013,1.067,NaN,NaN
2012-05-23,0.887,1.052,0.616,0.979,NaN,NaN
2012-05-24,0.933,1.146,0.515,0.982,NaN,NaN
2012-05-25,0.87,1.703,0.433,1.674,NaN,NaN
2012-05-29,0.82,1.735,0.82,1.086,NaN,NaN
2012-05-30,0.886,1.205,0.773,1.065,NaN,NaN
2012-05-31,0.993,1.181,0.673,1.18,NaN,NaN
2012-06-01,1.194,1.597,0.942,1.36,NaN,NaN
2012-06-04,0.857,2.158,0.857,1.084,NaN,NaN
2012-06-05,1.19,1.485,0.666,1.353,NaN,NaN
2012-06-06,0.903,1.378,0.62,1.249,NaN,NaN
2012-06-07,0.808,1.172,0.692,0.852,NaN,NaN
2012-06-08,1.06,1.419,0.874,0.88,NaN,NaN
2012-06-11,0.634,0.783,0.449,0.764,NaN,NaN
2012-06-12,1.96,1.96,1.058,1.11,NaN,NaN
2012-06-13,0.955,1.614,0.955,1.288,NaN,NaN
2012-06-14,1.331,3.647,1.086,1.099,NaN,NaN
2012-06-15,0.591,1.513,0.527,1.225,NaN,NaN
2012-06-18,0.803,1.906,0.776,1.333,NaN,NaN
2012-06-19,0.91,1.065,0.848,1.039,NaN,NaN
2012-06-20,2.8,2.8,0.946,0.972,NaN,NaN
2012-06-21,0.73,1.615,0.73,1.191,NaN,NaN
2012-06-22,1.653,1.749,0.99,0.997,NaN,NaN
2012-06-25,1.1,1.429,1.028,1.352,NaN,NaN
2012-06-26,0.649,1.398,0.649,1.022,NaN,NaN
2012-06-27,1.015,1.174,0.574,1.031,NaN,NaN
2012-06-28,0.887,1.464,0.801,0.825,NaN,NaN
2012-06-29,0.809,1.22,0.809,0.968,NaN,NaN
2012-07-02,2.146,2.146,1.087,1.205,NaN,NaN
2012-07-03,0.896,1.46,0.888,1.091,NaN,NaN
2012-07-05,0.758,1.107,0.633,0.849,NaN,NaN
2012-07-06,1.01,1.397,1.01,1.118,NaN,NaN
2012-07-09,0.785,1.544,0.785,1.027,NaN,NaN
